state,year,age,cervix_adj
Indiana,2003,35-39,15.03
Indiana,2004,35-39,17.34
Indiana,2005,35-39,16.53
Indiana,2006,35-39,13.56
Indiana,2007,35-39,15.86
Indiana,2008,35-39,10.77
Indiana,2009,35-39,15.63
Indiana,2010,35-39,11.59
Indiana,2011,35-39,10.9
Indiana,2012,35-39,12.02
Indiana,2013,35-39,14.49
Indiana,2014,35-39,11.35
Indiana,2015,35-39,16.03
Indiana,2016,35-39,15.25
Indiana,2017,35-39,16.0
Indiana,2018,35-39,14.39
Indiana,2019,35-39,15.27
Indiana,2003,40-44,15.65
Indiana,2004,40-44,14.47
Indiana,2005,40-44,12.57
Indiana,2006,40-44,14.61
Indiana,2007,40-44,13.68
Indiana,2008,40-44,11.81
Indiana,2009,40-44,17.32
Indiana,2010,40-44,16.05
Indiana,2011,40-44,13.11
Indiana,2012,40-44,17.33
Indiana,2013,40-44,17.39
Indiana,2014,40-44,16.63
Indiana,2015,40-44,19.38
Indiana,2016,40-44,18.92
Indiana,2017,40-44,16.55
Indiana,2018,40-44,17.97
Indiana,2019,40-44,20.65
Indiana,2003,45-49,11.5
Indiana,2004,45-49,13.9
Indiana,2005,45-49,16.63
Indiana,2006,45-49,18.48
Indiana,2007,45-49,13.56
Indiana,2008,45-49,13.64
Indiana,2009,45-49,16.56
Indiana,2010,45-49,16.39
Indiana,2011,45-49,16.46
Indiana,2012,45-49,13.83
Indiana,2013,45-49,12.41
Indiana,2014,45-49,16.54
Indiana,2015,45-49,16.25
Indiana,2016,45-49,19.45
Indiana,2017,45-49,17.56
Indiana,2018,45-49,19.03
Indiana,2019,45-49,22.56
Iowa,2003,20-24,0.0
Iowa,2004,20-24,0.0
Iowa,2005,20-24,2.78
Iowa,2006,20-24,0.0
Iowa,2007,20-24,0.0
Iowa,2008,20-24,0.0
Iowa,2009,20-24,2.89
Iowa,2010,20-24,0.96
Iowa,2011,20-24,3.77
Iowa,2012,20-24,1.84
Iowa,2013,20-24,0.0
Iowa,2014,20-24,0.89
Iowa,2015,20-24,0.89
Iowa,2016,20-24,0.0
Iowa,2017,20-24,0.91
Iowa,2018,20-24,0.0
Iowa,2019,20-24,0.92
Iowa,2003,30-34,9.94
Iowa,2004,30-34,10.13
Iowa,2005,30-34,11.36
Iowa,2006,30-34,10.46
Iowa,2007,30-34,11.65
Iowa,2008,30-34,13.8
Iowa,2009,30-34,11.27
Iowa,2010,30-34,15.32
Iowa,2011,30-34,9.55
Iowa,2012,30-34,10.39
Iowa,2013,30-34,6.14
Iowa,2014,30-34,14.23
Iowa,2015,30-34,3.05
Iowa,2016,30-34,13.32
Iowa,2017,30-34,12.48
Iowa,2018,30-34,16.84
Iowa,2019,30-34,14.77
Iowa,2003,35-39,17.8
Iowa,2004,35-39,7.55
Iowa,2005,35-39,19.69
Iowa,2006,35-39,9.76
Iowa,2007,35-39,12.02
Iowa,2008,35-39,18.79
Iowa,2009,35-39,12.46
Iowa,2010,35-39,16.06
Iowa,2011,35-39,15.23
Iowa,2012,35-39,14.0
Iowa,2013,35-39,11.38
Iowa,2014,35-39,21.02
Iowa,2015,35-39,10.73
Iowa,2016,35-39,19.77
Iowa,2017,35-39,17.24
Iowa,2018,35-39,15.99
Iowa,2019,35-39,13.91
Iowa,2003,40-44,11.56
Iowa,2004,40-44,17.92
Iowa,2005,40-44,11.05
Iowa,2006,40-44,11.49
Iowa,2007,40-44,8.96
Iowa,2008,40-44,9.33
Iowa,2009,40-44,9.6
Iowa,2010,40-44,7.56
Iowa,2011,40-44,13.98
Iowa,2012,40-44,17.33
Iowa,2013,40-44,8.76
Iowa,2014,40-44,27.91
Iowa,2015,40-44,17.03
Iowa,2016,40-44,8.12
Iowa,2017,40-44,13.89
Iowa,2018,40-44,17.03
Iowa,2019,40-44,19.86
Iowa,2003,45-49,14.51
Iowa,2004,45-49,5.41
Iowa,2005,45-49,4.46
Iowa,2006,45-49,13.28
Iowa,2007,45-49,14.2
Iowa,2008,45-49,15.22
Iowa,2009,45-49,9.02
Iowa,2010,45-49,13.91
Iowa,2011,45-49,16.41
Iowa,2012,45-49,14.07
Iowa,2013,45-49,12.5
Iowa,2014,45-49,18.19
Iowa,2015,45-49,14.07
Iowa,2016,45-49,11.89
Iowa,2017,45-49,20.68
Iowa,2018,45-49,15.46
Iowa,2019,45-49,15.76
Kansas,2003,20-24,0.0
Kansas,2004,20-24,0.0
Kansas,2005,20-24,0.0
Kansas,2006,20-24,0.98
Kansas,2007,20-24,1.0
Kansas,2008,20-24,0.0
Kansas,2009,20-24,2.02
Kansas,2010,20-24,1.01
Kansas,2011,20-24,1.0
Kansas,2012,20-24,0.98
Kansas,2013,20-24,0.96
Kansas,2014,20-24,1.92
Kansas,2015,20-24,0.95
Kansas,2016,20-24,0.0
Kansas,2017,20-24,0.98
Kansas,2018,20-24,1.96
Kansas,2019,20-24,0.99
Kansas,2003,30-34,7.99
Kansas,2004,30-34,19.61
Kansas,2005,30-34,11.72
Kansas,2006,30-34,10.81
Kansas,2007,30-34,11.94
Kansas,2008,30-34,1.19
Kansas,2009,30-34,8.08
Kansas,2010,30-34,15.69
Kansas,2011,30-34,7.65
Kansas,2012,30-34,10.7
Kansas,2013,30-34,9.46
Kansas,2014,30-34,13.52
Kansas,2015,30-34,11.42
Kansas,2016,30-34,9.37
Kansas,2017,30-34,10.58
Kansas,2018,30-34,13.94
Kansas,2019,30-34,15.21
Kansas,2003,35-39,17.76
Kansas,2004,35-39,14.94
Kansas,2005,35-39,16.22
Kansas,2006,35-39,9.18
Kansas,2007,35-39,16.07
Kansas,2008,35-39,17.17
Kansas,2009,35-39,12.8
Kansas,2010,35-39,17.64
Kansas,2011,35-39,16.71
Kansas,2012,35-39,16.69
Kansas,2013,35-39,17.65
Kansas,2014,35-39,17.32
Kansas,2015,35-39,22.49
Kansas,2016,35-39,9.86
Kansas,2017,35-39,11.86
Kansas,2018,35-39,18.98
Kansas,2019,35-39,21.94
Kansas,2003,40-44,16.0
Kansas,2004,40-44,12.39
Kansas,2005,40-44,13.72
Kansas,2006,40-44,16.39
Kansas,2007,40-44,11.72
Kansas,2008,40-44,15.65
Kansas,2009,40-44,19.5
Kansas,2010,40-44,20.79
Kansas,2011,40-44,13.81
Kansas,2012,40-44,13.83
Kansas,2013,40-44,16.25
Kansas,2014,40-44,20.08
Kansas,2015,40-44,24.08
Kansas,2016,40-44,19.6
Kansas,2017,40-44,17.1
Kansas,2018,40-44,25.36
Kansas,2019,40-44,17.75
Kansas,2003,45-49,14.55
Kansas,2004,45-49,16.39
Kansas,2005,45-49,21.03
Kansas,2006,45-49,6.65
Kansas,2007,45-49,9.51
Kansas,2008,45-49,13.4
Kansas,2009,45-49,13.51
Kansas,2010,45-49,14.88
Kansas,2011,45-49,13.47
Kansas,2012,45-49,14.09
Kansas,2013,45-49,14.77
Kansas,2014,45-49,12.91
Kansas,2015,45-49,16.62
Kansas,2016,45-49,10.68
Kansas,2017,45-49,15.46
Kansas,2018,45-49,14.35
Kansas,2019,45-49,9.73
Kentucky,2003,20-24,2.01
Kentucky,2004,20-24,2.68
Kentucky,2005,20-24,0.0
Kentucky,2006,20-24,1.4
Kentucky,2007,20-24,1.41
Kentucky,2008,20-24,0.71
Kentucky,2009,20-24,2.12
Kentucky,2010,20-24,2.08
Kentucky,2011,20-24,2.01
Kentucky,2012,20-24,1.97
Kentucky,2013,20-24,1.94
Kentucky,2014,20-24,1.3
Kentucky,2015,20-24,2.0
Kentucky,2016,20-24,0.68
Kentucky,2017,20-24,0.69
Kentucky,2018,20-24,0.7
Kentucky,2019,20-24,0.7
Kentucky,2003,30-34,12.57
Kentucky,2004,30-34,16.98
Kentucky,2005,30-34,12.93
Kentucky,2006,30-34,11.1
Kentucky,2007,30-34,8.98
Kentucky,2008,30-34,8.93
Kentucky,2009,30-34,13.23
Kentucky,2010,30-34,9.31
Kentucky,2011,30-34,12.66
Kentucky,2012,30-34,17.49
Kentucky,2013,30-34,11.15
Kentucky,2014,30-34,15.44
Kentucky,2015,30-34,17.84
Kentucky,2016,30-34,13.74
Kentucky,2017,30-34,16.75
Kentucky,2018,30-34,14.66
Kentucky,2019,30-34,14.43
Kentucky,2003,35-39,19.33
Kentucky,2004,35-39,17.08
Kentucky,2005,35-39,15.22
Kentucky,2006,35-39,21.89
Kentucky,2007,35-39,19.82
Kentucky,2008,35-39,15.11
Kentucky,2009,35-39,20.23
Kentucky,2010,35-39,17.03
Kentucky,2011,35-39,15.99
Kentucky,2012,35-39,17.62
Kentucky,2013,35-39,15.4
Kentucky,2014,35-39,19.65
Kentucky,2015,35-39,17.17
Kentucky,2016,35-39,25.35
Kentucky,2017,35-39,26.62
Kentucky,2018,35-39,11.86
Kentucky,2019,35-39,16.1
Kentucky,2003,40-44,16.55
Kentucky,2004,40-44,20.28
Kentucky,2005,40-44,16.73
Kentucky,2006,40-44,16.39
Kentucky,2007,40-44,20.06
Kentucky,2008,40-44,21.17
Kentucky,2009,40-44,19.0
Kentucky,2010,40-44,19.21
Kentucky,2011,40-44,19.01
Kentucky,2012,40-44,18.32
Kentucky,2013,40-44,17.79
Kentucky,2014,40-44,13.24
Kentucky,2015,40-44,20.6
Kentucky,2016,40-44,21.19
Kentucky,2017,40-44,21.38
Kentucky,2018,40-44,19.13
Kentucky,2019,40-44,23.34
Kentucky,2003,45-49,11.28
Kentucky,2004,45-49,16.12
Kentucky,2005,45-49,15.95
Kentucky,2006,45-49,12.73
Kentucky,2007,45-49,9.08
Kentucky,2008,45-49,13.96
Kentucky,2009,45-49,14.59
Kentucky,2010,45-49,14.09
Kentucky,2011,45-49,10.04
Kentucky,2012,45-49,20.02
Kentucky,2013,45-49,16.58
Kentucky,2014,45-49,22.47
Kentucky,2015,45-49,18.65
Kentucky,2016,45-49,24.05
Kentucky,2017,45-49,23.32
Kentucky,2018,45-49,19.41
Kentucky,2019,45-49,21.82
Louisiana,2003,20-24,1.66
Louisiana,2004,20-24,3.3
Louisiana,2005,20-24,3.48
Louisiana,2006,20-24,3.66
Louisiana,2007,20-24,0.6
Louisiana,2008,20-24,2.4
Louisiana,2009,20-24,2.98
Louisiana,2010,20-24,1.76
Louisiana,2011,20-24,2.29
Louisiana,2012,20-24,2.27
Louisiana,2013,20-24,2.27
Louisiana,2014,20-24,0.58
Louisiana,2015,20-24,0.6
Louisiana,2016,20-24,0.62
Louisiana,2017,20-24,1.93
Louisiana,2018,20-24,0.0
Louisiana,2019,20-24,0.0
Louisiana,2003,30-34,17.85
Louisiana,2004,30-34,14.11
Louisiana,2005,30-34,17.23
Louisiana,2006,30-34,18.36
Louisiana,2007,30-34,15.14
Louisiana,2008,30-34,8.12
Louisiana,2009,30-34,13.42
Louisiana,2010,30-34,12.09
Louisiana,2011,30-34,11.68
Louisiana,2012,30-34,8.84
Louisiana,2013,30-34,8.62
Louisiana,2014,30-34,16.37
Louisiana,2015,30-34,17.45
Louisiana,2016,30-34,9.62
Louisiana,2017,30-34,14.01
Louisiana,2018,30-34,13.55
Louisiana,2019,30-34,12.91
Louisiana,2003,35-39,13.12
Louisiana,2004,35-39,15.43
Louisiana,2005,35-39,14.92
Louisiana,2006,35-39,13.32
Louisiana,2007,35-39,18.21
Louisiana,2008,35-39,16.93
Louisiana,2009,35-39,17.85
Louisiana,2010,35-39,16.57
Louisiana,2011,35-39,17.52
Louisiana,2012,35-39,13.78
Louisiana,2013,35-39,18.55
Louisiana,2014,35-39,15.29
Louisiana,2015,35-39,17.48
Louisiana,2016,35-39,19.55
Louisiana,2017,35-39,17.87
Louisiana,2018,35-39,20.68
Louisiana,2019,35-39,16.75
Louisiana,2003,40-44,20.26
Louisiana,2004,40-44,13.01
Louisiana,2005,40-44,19.22
Louisiana,2006,40-44,20.18
Louisiana,2007,40-44,14.84
Louisiana,2008,40-44,20.54
Louisiana,2009,40-44,15.61
Louisiana,2010,40-44,20.56
Louisiana,2011,40-44,25.28
Louisiana,2012,40-44,19.24
Louisiana,2013,40-44,16.68
Louisiana,2014,40-44,21.91
Louisiana,2015,40-44,20.21
Louisiana,2016,40-44,20.56
Louisiana,2017,40-44,21.3
Louisiana,2018,40-44,24.01
Louisiana,2019,40-44,20.68
Louisiana,2003,45-49,16.27
Louisiana,2004,45-49,20.14
Louisiana,2005,45-49,18.87
Louisiana,2006,45-49,19.16
Louisiana,2007,45-49,14.9
Louisiana,2008,45-49,19.0
Louisiana,2009,45-49,16.07
Louisiana,2010,45-49,16.93
Louisiana,2011,45-49,12.44
Louisiana,2012,45-49,10.9
Louisiana,2013,45-49,14.5
Louisiana,2014,45-49,18.34
Louisiana,2015,45-49,21.38
Louisiana,2016,45-49,13.82
Louisiana,2017,45-49,19.55
Louisiana,2018,45-49,12.08
Louisiana,2019,45-49,15.24
Maryland,2003,20-24,1.71
Maryland,2004,20-24,2.81
Maryland,2005,20-24,1.66
Maryland,2006,20-24,3.29
Maryland,2007,20-24,0.0
Maryland,2008,20-24,0.54
Maryland,2009,20-24,0.53
Maryland,2010,20-24,0.51
Maryland,2011,20-24,2.55
Maryland,2012,20-24,0.0
Maryland,2013,20-24,1.02
Maryland,2014,20-24,1.01
Maryland,2015,20-24,0.0
Maryland,2016,20-24,1.05
Maryland,2017,20-24,1.59
Maryland,2018,20-24,0.0
Maryland,2019,20-24,0.0
Maryland,2003,30-34,10.92
Maryland,2004,30-34,12.28
Maryland,2005,30-34,9.52
Maryland,2006,30-34,6.55
Maryland,2007,30-34,12.79
Maryland,2008,30-34,6.64
Maryland,2009,30-34,12.45
Maryland,2010,30-34,6.82
Maryland,2011,30-34,4.58
Maryland,2012,30-34,3.96
Maryland,2013,30-34,5.32
Maryland,2014,30-34,4.77
Maryland,2015,30-34,7.56
Maryland,2016,30-34,7.07
Maryland,2017,30-34,6.55
Maryland,2018,30-34,10.7
Maryland,2019,30-34,12.03
Maryland,2003,35-39,12.75
Maryland,2004,35-39,9.5
Maryland,2005,35-39,11.05
Maryland,2006,35-39,12.57
Maryland,2007,35-39,11.36
Maryland,2008,35-39,13.09
Maryland,2009,35-39,11.01
Maryland,2010,35-39,13.34
Maryland,2011,35-39,13.72
Maryland,2012,35-39,8.5
Maryland,2013,35-39,11.07
Maryland,2014,35-39,7.75
Maryland,2015,35-39,5.54
Maryland,2016,35-39,17.14
Maryland,2017,35-39,12.44
Maryland,2018,35-39,13.59
Maryland,2019,35-39,14.81
Maryland,2003,40-44,13.23
Maryland,2004,40-44,12.7
Maryland,2005,40-44,14.01
Maryland,2006,40-44,13.42
Maryland,2007,40-44,10.32
Maryland,2008,40-44,7.07
Maryland,2009,40-44,16.84
Maryland,2010,40-44,15.22
Maryland,2011,40-44,12.47
Maryland,2012,40-44,12.57
Maryland,2013,40-44,10.93
Maryland,2014,40-44,12.21
Maryland,2015,40-44,12.03
Maryland,2016,40-44,11.38
Maryland,2017,40-44,12.54
Maryland,2018,40-44,10.41
Maryland,2019,40-44,10.76
Maryland,2003,45-49,15.09
Maryland,2004,45-49,11.34
Maryland,2005,45-49,12.44
Maryland,2006,45-49,5.5
Maryland,2007,45-49,11.36
Maryland,2008,45-49,12.6
Maryland,2009,45-49,12.07
Maryland,2010,45-49,15.88
Maryland,2011,45-49,15.26
Maryland,2012,45-49,14.23
Maryland,2013,45-49,12.78
Maryland,2014,45-49,11.76
Maryland,2015,45-49,16.51
Maryland,2016,45-49,9.68
Maryland,2017,45-49,13.05
Maryland,2018,45-49,6.68
Maryland,2019,45-49,10.3
Massachusetts,2003,20-24,1.39
Massachusetts,2004,20-24,1.39
Massachusetts,2005,20-24,1.38
Massachusetts,2006,20-24,1.35
Massachusetts,2007,20-24,0.88
Massachusetts,2008,20-24,0.87
Massachusetts,2009,20-24,0.42
Massachusetts,2010,20-24,0.42
Massachusetts,2011,20-24,0.42
Massachusetts,2012,20-24,0.83
Massachusetts,2013,20-24,0.0
Massachusetts,2014,20-24,1.22
Massachusetts,2015,20-24,0.0
Massachusetts,2016,20-24,0.81
Massachusetts,2017,20-24,0.0
Massachusetts,2018,20-24,0.81
Massachusetts,2019,20-24,0.41
Massachusetts,2003,30-34,5.57
Massachusetts,2004,30-34,11.64
Massachusetts,2005,30-34,9.41
Massachusetts,2006,30-34,9.3
Massachusetts,2007,30-34,5.96
Massachusetts,2008,30-34,6.47
Massachusetts,2009,30-34,9.33
Massachusetts,2010,30-34,9.2
Massachusetts,2011,30-34,6.12
Massachusetts,2012,30-34,3.67
Massachusetts,2013,30-34,7.61
Massachusetts,2014,30-34,7.47
Massachusetts,2015,30-34,8.2
Massachusetts,2016,30-34,8.45
Massachusetts,2017,30-34,9.92
Massachusetts,2018,30-34,5.27
Massachusetts,2019,30-34,6.0
Massachusetts,2003,35-39,7.4
Massachusetts,2004,35-39,13.3
Massachusetts,2005,35-39,10.28
Massachusetts,2006,35-39,11.3
Massachusetts,2007,35-39,7.72
Massachusetts,2008,35-39,6.61
Massachusetts,2009,35-39,7.72
Massachusetts,2010,35-39,10.8
Massachusetts,2011,35-39,5.82
Massachusetts,2012,35-39,11.28
Massachusetts,2013,35-39,7.8
Massachusetts,2014,35-39,8.15
Massachusetts,2015,35-39,9.41
Massachusetts,2016,35-39,14.75
Massachusetts,2017,35-39,9.9
Massachusetts,2018,35-39,11.48
Massachusetts,2019,35-39,10.01
Massachusetts,2003,40-44,12.62
Massachusetts,2004,40-44,11.92
Massachusetts,2005,40-44,10.95
Massachusetts,2006,40-44,8.46
Massachusetts,2007,40-44,10.61
Massachusetts,2008,40-44,8.41
Massachusetts,2009,40-44,7.82
Massachusetts,2010,40-44,11.27
Massachusetts,2011,40-44,8.4
Massachusetts,2012,40-44,8.52
Massachusetts,2013,40-44,11.74
Massachusetts,2014,40-44,12.03
Massachusetts,2015,40-44,10.56
Massachusetts,2016,40-44,7.11
Massachusetts,2017,40-44,5.76
Massachusetts,2018,40-44,13.43
Massachusetts,2019,40-44,9.5
Massachusetts,2003,45-49,7.51
Massachusetts,2004,45-49,7.79
Massachusetts,2005,45-49,8.85
Massachusetts,2006,45-49,9.54
Massachusetts,2007,45-49,9.91
Massachusetts,2008,45-49,15.2
Massachusetts,2009,45-49,9.45
Massachusetts,2010,45-49,7.6
Massachusetts,2011,45-49,8.85
Massachusetts,2012,45-49,8.59
Massachusetts,2013,45-49,7.95
Massachusetts,2014,45-49,10.57
Massachusetts,2015,45-49,8.23
Massachusetts,2016,45-49,9.54
Massachusetts,2017,45-49,8.85
Massachusetts,2018,45-49,8.62
Massachusetts,2019,45-49,6.66
Michigan,2003,20-24,2.63
Michigan,2004,20-24,2.92
Michigan,2005,20-24,1.47
Michigan,2006,20-24,1.79
Michigan,2007,20-24,2.12
Michigan,2008,20-24,2.44
Michigan,2009,20-24,1.83
Michigan,2010,20-24,0.6
Michigan,2011,20-24,0.87
Michigan,2012,20-24,0.56
Michigan,2013,20-24,1.38
Michigan,2014,20-24,1.65
Michigan,2015,20-24,1.4
Michigan,2016,20-24,0.86
Michigan,2017,20-24,0.29
Michigan,2018,20-24,0.59
Michigan,2019,20-24,0.9
Michigan,2003,30-34,12.71
Michigan,2004,30-34,11.58
Michigan,2005,30-34,14.8
Michigan,2006,30-34,11.38
Michigan,2007,30-34,13.88
Michigan,2008,30-34,12.1
Michigan,2009,30-34,11.12
Michigan,2010,30-34,9.33
Michigan,2011,30-34,9.19
Michigan,2012,30-34,10.45
Michigan,2013,30-34,7.7
Michigan,2014,30-34,9.72
Michigan,2015,30-34,10.11
Michigan,2016,30-34,9.09
Michigan,2017,30-34,9.75
Michigan,2018,30-34,11.01
Michigan,2019,30-34,11.79
Michigan,2003,35-39,13.51
Michigan,2004,35-39,12.2
Michigan,2005,35-39,12.06
Michigan,2006,35-39,14.41
Michigan,2007,35-39,17.87
Michigan,2008,35-39,14.16
Michigan,2009,35-39,19.07
Michigan,2010,35-39,14.69
Michigan,2011,35-39,15.35
Michigan,2012,35-39,13.24
Michigan,2013,35-39,11.55
Michigan,2014,35-39,11.12
Michigan,2015,35-39,13.02
Michigan,2016,35-39,13.8
Michigan,2017,35-39,17.25
Michigan,2018,35-39,17.1
Michigan,2019,35-39,10.2
Michigan,2003,40-44,13.76
Michigan,2004,40-44,12.63
Michigan,2005,40-44,13.17
Michigan,2006,40-44,14.9
Michigan,2007,40-44,17.02
Michigan,2008,40-44,13.09
Michigan,2009,40-44,15.91
Michigan,2010,40-44,12.56
Michigan,2011,40-44,14.96
Michigan,2012,40-44,12.4
Michigan,2013,40-44,16.62
Michigan,2014,40-44,11.99
Michigan,2015,40-44,14.73
Michigan,2016,40-44,16.36
Michigan,2017,40-44,15.28
Michigan,2018,40-44,16.36
Michigan,2019,40-44,13.13
Michigan,2003,45-49,12.62
Michigan,2004,45-49,10.5
Michigan,2005,45-49,12.45
Michigan,2006,45-49,12.46
Michigan,2007,45-49,13.91
Michigan,2008,45-49,14.16
Michigan,2009,45-49,10.43
Michigan,2010,45-49,13.88
Michigan,2011,45-49,11.81
Michigan,2012,45-49,9.89
Michigan,2013,45-49,13.71
Michigan,2014,45-49,12.01
Michigan,2015,45-49,14.27
Michigan,2016,45-49,13.65
Michigan,2017,45-49,10.71
Michigan,2018,45-49,14.93
Michigan,2019,45-49,12.76
Minnesota,2003,20-24,0.58
Minnesota,2004,20-24,0.57
Minnesota,2005,20-24,1.67
Minnesota,2006,20-24,0.55
Minnesota,2007,20-24,2.8
Minnesota,2008,20-24,1.69
Minnesota,2009,20-24,0.0
Minnesota,2010,20-24,0.57
Minnesota,2011,20-24,0.58
Minnesota,2012,20-24,1.15
Minnesota,2013,20-24,1.13
Minnesota,2014,20-24,0.0
Minnesota,2015,20-24,0.56
Minnesota,2016,20-24,0.0
Minnesota,2017,20-24,1.12
Minnesota,2018,20-24,0.0
Minnesota,2019,20-24,0.57
Minnesota,2003,30-34,11.76
Minnesota,2004,30-34,10.86
Minnesota,2005,30-34,8.03
Minnesota,2006,30-34,8.82
Minnesota,2007,30-34,8.79
Minnesota,2008,30-34,12.98
Minnesota,2009,30-34,13.89
Minnesota,2010,30-34,5.89
Minnesota,2011,30-34,7.37
Minnesota,2012,30-34,7.7
Minnesota,2013,30-34,8.58
Minnesota,2014,30-34,5.81
Minnesota,2015,30-34,8.4
Minnesota,2016,30-34,8.91
Minnesota,2017,30-34,9.98
Minnesota,2018,30-34,6.85
Minnesota,2019,30-34,12.15
Minnesota,2003,35-39,13.61
Minnesota,2004,35-39,6.15
Minnesota,2005,35-39,6.81
Minnesota,2006,35-39,8.54
Minnesota,2007,35-39,9.8
Minnesota,2008,35-39,13.52
Minnesota,2009,35-39,14.5
Minnesota,2010,35-39,9.91
Minnesota,2011,35-39,8.23
Minnesota,2012,35-39,11.38
Minnesota,2013,35-39,11.74
Minnesota,2014,35-39,6.02
Minnesota,2015,35-39,15.14
Minnesota,2016,35-39,12.86
Minnesota,2017,35-39,9.69
Minnesota,2018,35-39,7.34
Minnesota,2019,35-39,9.27
Minnesota,2003,40-44,9.52
Minnesota,2004,40-44,10.57
Minnesota,2005,40-44,9.82
Minnesota,2006,40-44,12.67
Minnesota,2007,40-44,8.41
Minnesota,2008,40-44,10.4
Minnesota,2009,40-44,10.67
Minnesota,2010,40-44,16.55
Minnesota,2011,40-44,13.16
Minnesota,2012,40-44,8.12
Minnesota,2013,40-44,9.45
Minnesota,2014,40-44,7.86
Minnesota,2015,40-44,15.48
Minnesota,2016,40-44,14.57
Minnesota,2017,40-44,15.76
Minnesota,2018,40-44,11.09
Minnesota,2019,40-44,8.96
Minnesota,2003,45-49,12.79
Minnesota,2004,45-49,11.05
Minnesota,2005,45-49,13.8
Minnesota,2006,45-49,10.64
Minnesota,2007,45-49,12.5
Minnesota,2008,45-49,7.21
Minnesota,2009,45-49,8.74
Minnesota,2010,45-49,9.43
Minnesota,2011,45-49,8.21
Minnesota,2012,45-49,10.11
Minnesota,2013,45-49,5.52
Minnesota,2014,45-49,10.22
Minnesota,2015,45-49,12.11
Minnesota,2016,45-49,10.42
Minnesota,2017,45-49,8.19
Minnesota,2018,45-49,10.72
Minnesota,2019,45-49,12.19
Mississippi,2003,20-24,1.78
Mississippi,2004,20-24,1.77
Mississippi,2005,20-24,2.74
Mississippi,2006,20-24,0.93
Mississippi,2007,20-24,0.95
Mississippi,2008,20-24,1.91
Mississippi,2009,20-24,5.73
Mississippi,2010,20-24,1.88
Mississippi,2011,20-24,0.91
Mississippi,2012,20-24,0.89
Mississippi,2013,20-24,0.0
Mississippi,2014,20-24,0.89
Mississippi,2015,20-24,3.65
Mississippi,2016,20-24,0.94
Mississippi,2017,20-24,1.93
Mississippi,2018,20-24,0.99
Mississippi,2019,20-24,1.0
Mississippi,2003,30-34,11.22
Mississippi,2004,30-34,14.37
Mississippi,2005,30-34,13.75
Mississippi,2006,30-34,19.4
Mississippi,2007,30-34,6.52
Mississippi,2008,30-34,9.77
Mississippi,2009,30-34,5.33
Mississippi,2010,30-34,11.44
Mississippi,2011,30-34,13.29
Mississippi,2012,30-34,16.2
Mississippi,2013,30-34,12.07
Mississippi,2014,30-34,13.17
Mississippi,2015,30-34,12.3
Mississippi,2016,30-34,15.56
Mississippi,2017,30-34,14.76
Mississippi,2018,30-34,11.73
Mississippi,2019,30-34,13.78
Mississippi,2003,35-39,16.12
Mississippi,2004,35-39,17.5
Mississippi,2005,35-39,19.92
Mississippi,2006,35-39,19.65
Mississippi,2007,35-39,16.35
Mississippi,2008,35-39,19.32
Mississippi,2009,35-39,15.44
Mississippi,2010,35-39,18.84
Mississippi,2011,35-39,10.73
Mississippi,2012,35-39,18.43
Mississippi,2013,35-39,15.18
Mississippi,2014,35-39,13.94
Mississippi,2015,35-39,14.78
Mississippi,2016,35-39,17.68
Mississippi,2017,35-39,19.59
Mississippi,2018,35-39,11.32
Mississippi,2019,35-39,16.54
Mississippi,2003,40-44,10.93
Mississippi,2004,40-44,15.52
Mississippi,2005,40-44,15.92
Mississippi,2006,40-44,19.99
Mississippi,2007,40-44,12.73
Mississippi,2008,40-44,19.16
Mississippi,2009,40-44,11.36
Mississippi,2010,40-44,26.02
Mississippi,2011,40-44,24.72
Mississippi,2012,40-44,18.45
Mississippi,2013,40-44,12.34
Mississippi,2014,40-44,23.97
Mississippi,2015,40-44,23.34
Mississippi,2016,40-44,19.57
Mississippi,2017,40-44,22.04
Mississippi,2018,40-44,18.78
Mississippi,2019,40-44,19.69
Mississippi,2003,45-49,12.24
Mississippi,2004,45-49,11.14
Mississippi,2005,45-49,12.06
Mississippi,2006,45-49,16.49
Mississippi,2007,45-49,13.78
Mississippi,2008,45-49,16.53
Mississippi,2009,45-49,21.27
Mississippi,2010,45-49,12.2
Mississippi,2011,45-49,24.15
Mississippi,2012,45-49,20.94
Mississippi,2013,45-49,12.31
Mississippi,2014,45-49,22.12
Mississippi,2015,45-49,13.82
Mississippi,2016,45-49,20.02
Mississippi,2017,45-49,16.76
Mississippi,2018,45-49,10.53
Mississippi,2019,45-49,21.33
Missouri,2003,20-24,1.47
Missouri,2004,20-24,0.97
Missouri,2005,20-24,2.41
Missouri,2006,20-24,2.43
Missouri,2007,20-24,0.98
Missouri,2008,20-24,0.49
Missouri,2009,20-24,0.98
Missouri,2010,20-24,1.45
Missouri,2011,20-24,1.91
Missouri,2012,20-24,1.88
Missouri,2013,20-24,1.4
Missouri,2014,20-24,0.94
Missouri,2015,20-24,0.95
Missouri,2016,20-24,1.46
Missouri,2017,20-24,0.0
Missouri,2018,20-24,1.51
Missouri,2019,20-24,0.51
Missouri,2003,30-34,13.22
Missouri,2004,30-34,16.1
Missouri,2005,30-34,9.85
Missouri,2006,30-34,11.81
Missouri,2007,30-34,15.8
Missouri,2008,30-34,15.76
Missouri,2009,30-34,12.66
Missouri,2010,30-34,9.61
Missouri,2011,30-34,14.57
